Where are you from? 	고향이 어디십니까? 
We're going to pull together. 	우리는 힘을 합칠 겁니다. 
`If we all pull together, we'll finish on time. `	우리가 힘을 합치면 제 시간에 끝낼 겁니다. 
`Don't give up now, we have to pull together. `	지금 포기하지 말아요. 우린 힘을 합쳐야 해요. 
The support struts go first. 	지지대가 먼저 무너집니다.
My Dad's sight is srarting to go. 	아버지 시력이 나빠지기 시작하세요. 
The light's gone in the living room. 	거실의 불이 나갔습니다. 
They can't handle more than ten tons of pressure. 	그것들은 10톤 이상의 압력은 감당할 수 없습니다. 
I can't handle all this stress. 	전 이 모든 스트레스를 감당할 수 없어요. 
She can handle the situation. 	그녀는 그 상황을 처리할 수 있습니다. 
Good thing you came to this side. 	당신이 이쪽으로 오시길 다행입니다. 
Good thing you didn't listen to her. 	당신이 그녀의 얘기를 듣지 않은 것이 다행입니다. 
Good thing you applied for this position. 	당신이 이 자리에 지원하길 잘했습니다. 
It wasn't like it was planned. 	그건 계획한 것이 아니었어요. 
It wasn't like it was arranged. 	그건 우리가 준비한 것이 아니었어요. 
It wasn't like it was going to happen. 	그건 일어날 것 같지 않은 일이었어요. 
My skin's starting to bleed. 	내 살갗에 피가 나기 시작합니다. 
My skin's starting to break out. 	내 피부에 뭐가 나기 시작합니다. 
My skin's starting to dry out. 	내 피부가 건조해지기 시작합니다. 
I'll coat it with oil. 	전 그걸 오일로 바를 겁니다. 
Don't sugar-coat the truth. 	진실을 보기 좋게 꾸미지 마세요. 
I'll put a second coat of paint on it. 	전 그 위에 두 번째 칠을 할 겁니다. 
I'll drain the stairwell. 	전 계단 통로의 물을 빼겠어요. 
`Can you drain the spaghetti, please? `	스파게티의 물을 빼주겠어요? 
I am so drained. 	전 힘이 쭉 빠졌어요. 
`Would you zip me up, please?`	제 지퍼 좀 올려주겠어요? 
`Zip up your jacket, or you'll get cold. `	당신 재킷 지퍼를 올리세요. 아니면 추울 거예요 
Could you unzip it? 	지퍼 좀 내려주겠어요? 
I did my best to be a good father. 	전 좋은 아버지가 되도록 최선을 다했어요. 
I did my best to be a good actor. 	전 훌륭한 연기자가 되려고 최선을 다했어요. 
I did my best to be a good teacher. 	전 좋은 선생님이 되려고 최선을 다했어요. 
What mark do I have to leave behind? 	내가 어떤 흔적을 남겨야 할까요? 
I was left behind. 	전 뒤로 처졌습니다. 
Don't leave it behind. 	그걸 빼놓고 가지 마세요. 
Is this the only way? 	이 방법밖엔 없어요? 
Is this the only way out? 	이 길이 나가는 유일한 길이에요? 
Is this the only way to get there? 	그곳에 가려면 이 길밖엔 없나요? 
Sharks are attracted to churning water. 	상어는 거품이 이는 물에 끌립니다. 
I'm not really attracted to the macho type. 	전 남성적인 타입에는 그렇게 끌리지 않아요. 
He's attracted to Lisa. 	그는 리사에게 끌립니다. 
He used us to ruin the contract. 	그는 계약을 망치는데 우리를 이용했어요. 
He used us for free labor. 	그는 공짜로 일을 시키는데 우리를 이용했어요. 
He used us to solve this business problem. 	그는 이 사업 문제를 해결하는데 우리를 이용했죠. 
That's the answer to your question. 	그게 당신의 질문에 대한 해답입니다. 
It's the answer to your worries. 	그것이 당신 걱정에 대한 해결책입니다. 
There are no easy answers to today's political problems. 	오늘날 정치문제에 대한 쉬운 대답은 없습니다.
Are you sure it was just you there? 	그곳에 당신만 있었다는 것이 확실합니까? 
Are you sure he didn't tell you anything? 	그가 당신에게 아무런 얘기도 하지 않았다는 것이 확실합니까? 
Are you sure no one saw you? 	아무도 당신을 보지 않은 게 확실해요? 
Here comes the next shift. 	다음 근무 교대 팀이 오고 있어요. 
Here comes Johnny! 	조니가 오고 있어요. 
Here comes the bride! 	신부가 오고 있어요. 
I'm going to teach you how to sail. 	내가 당신에게 항해하는 법을 가르쳐 줄게요. 
Don't you know how to drive? 	당신은 운전하는 법을 몰라요? 
He'll show you how to operate this. 	그가 당신에게 이걸 작동하는 법을 가르쳐 줄 겁니다. 
Sailing is the best thing there is. 	항해가 최고죠. 
Fishing is the best thing there is. 	낚시가 최고예요. 
Laughing is the best thing there is. 	웃는 게 최고예요. 
Do you think we ought to break the news to her? 	당신은 우리가 그녀에게 좋지 않은 소식을 전해야 한다고 생각해요? 
I don't want to break the news to her. 	제가 그녀에게 그 소식을 전하고 싶지 않아요. 
Was he the one who broke the news to you? 	당신에게 그 소식을 전해준 사람이 그였어요? 
She's not going to be happy about it. 	그녀는 그것에 관해서 좋아하지 않을 겁니다.
He's going to be happy about the party. 	그는 파티를 마음에 들어 하지 않을 겁니다. 
I'm going to be happy if he asks me out. 	그가 내게 데이트 신청을 하면 기분이 좋을 것 같아요. 
We can't afford it. 	우린 그럴 여유가 없어요. 
We can't afford to buy the house. 	우린 그 집을 살 여유가 없어요. 
We can't afford to study abroad. 	우린 해외로 유학 갈 여유가 없어요. 
We'll have a great time. 	우린 즐겁게 지낼 겁니다. 
You guys have a great time! 	즐거운 시간 보내세요! 
I had a good time at the housewarming party. 	전 집들이 파티에서 즐거운 시간을 보냈어요. 
He asked me to come by. 	그는 내게 들르라고 부탁했어요. 
Come by my office. 	내 사무실에 들르세요. 
Jobs are hard to come by these days. 	요즘 직장을 구하기가 힘들어요. 
I came here as your friend. 	전 당신 친구로 여기 왔습니다. 
Talk to me as a friend. 	친구로서 내게 얘기하세요. 
Why don't you discuss it with him as his friend? 	그의 친구로서 그와 얘기해 보는 게 어때요? 
Do you know his policy is worth two million? 	당신은 그의 보험이 2백만 달러짜리인 걸 알고 있나요? 
Do you think this book is worth reading? 	당신은 이 책이 읽을 만 하다고 생각해요? 
It's not worth it. 	그럴 가치가 없어요. 
He wants to make sure we're okay. 	그는 우리가 괜찮은지 확실히 하고 싶어 합니다. 
She wants to make sure everything is going smoothly. 	그녀는 모든 일이 잘 되고 있는지 확실히 하고 싶어 합니다. 
I want to make sure everything is going on schedule. 	전 모든 일이 예정대로 진행되고 있는지 확실히 하고 싶어요. 
They may see it as a motive.	그들은 그걸 (범행)동기로 볼 수도 있어요. 
They may see it as a clue. 	그들은 그걸 실마리로 생각할 수도 있어요. 
They may see it as a solution. 	그들은 그걸 해결책으로 생각할 수도 있어요. 
Is that what they're saying? 	그들이 그렇게 얘기하고 있다는 겁니까? 
Is that what she's talking about the incident? 	그녀가 그 사건에 대해서 그렇게 얘기하고 있다는 거예요? 
Is that how he's reacting to your comments? 	그가 당신 말에 그렇게 반응하고 있다는 겁니까? 
Let's consider all the possibilities. 	모든 가능성을 고려해봅시다. 
Let's consider his application carefully. 	그의 지원을 신중하게 생각해봅시다. 
Let's consider how to get there. 	거기에 어떻게 갈지 생각해봅시다. 
I told you what happened. 	전 당신에게 무슨 일이 있었는지 얘기했잖아요. 
I told you how it ended. 	전 당신에게 그 일이 어떻게 끝났는지 얘기했잖아요. 
I told you how I ended up being there. 	전 당신에게 내가 어떻게 그곳에 있게 됐는지 얘기했잖아요. 
I've thought it through. 	전 그걸 신중히 생각했어요. 
Think it over before you decide. 	결정하기 전에 곰곰이 생각하세요. 
Have you thought it through? 	신중하게 생각했어요? 
Money won't be a problem. 	돈이 문제가 되진 않을 겁니다. 
Age won't be a problem. 	나이가 문제가 되진 않을 겁니다. 
Your educational background won't be a problem. 	당신의 학력이 문제가 되진 않을 겁니다. 
Use your head. 	머리를 쓰세요. 
Use your brain. 	머리를 쓰세요. 
Rack your brain. 	머리를 굴려봐요.
There's got to be a way to track them down. 	그들을 추적할 방법이 있을 겁니다. 
There's got to be a way to stop them. 	그들을 막을 방법이 있을 겁니다. 
There's got to be a way to get it done. 	그 일을 끝낼 방법이 있을 겁니다. 
Why are you acting this way? 	왜 이런 식으로 행동하는 겁니까? 
Why are you talking to me this way? 	왜 내게 이런 식으로 얘기하는 거죠? 
Why are you doing it this way? 	왜 그걸 이런 식으로 하는 겁니까? 
I was just about to call you. 	전 방금 당신에게 전화하려던 참이었어요. 
I was just about to go there. 	전 방금 그곳에 가려던 참이었어요. 
I was just about to call it quits. 	전 방금 그만두려고 하던 참이었어요. 
This is the best advice you're ever going to get. 	이것이 당신이 받게 될 최고의 조언입니다. 
This is the best offer you're ever going to get. 	이것이 당신이 받게 될 최고의 제안입니다. 
This is the best job you're ever going to get. 	이것이 당신이 갖게 될 최고의 일자리입니다. 
They can't convict you of it a second time. 	당신을 그 일로 두 번 기소할 수 없어요. 
She's been convicted of fraud. 	그녀는 사기로 기소 당했습니다. 
What was he convicted of? 	그가 무슨 일로 기소 당했나요? 
I didn't come here to make any excuses. 	난 여기에 어떤 변명을 하러 온 것은 아니었습니다. 
Don't make any excuses. 	변명하지 마세요. 
She's good at making excuses. 	그녀는 변명하는데 능숙합니다. 
I swear to you that I'm a changed person. 	`당신께 맹세컨대, 전 달라졌습니다. `
You haven't changed a bit. 	당신은 하나도 변하지 않았군요. 
You've changed a lot.	당신은 많이 변했어요. 
It's wrong of me to be here. 	내가 여기 온 건 잘못한 일입니다. 
It's nice of you to help me. 	날 도와주시다니 당신은 좋으신 분입니다. 
It's very kind of you to ask me that. 	내게 그걸 물어봐 주시다니 정말 친절하십니다. 
I'm sorry to bother you. 	귀찮게 해서 죄송합니다. 
`I don't want to bother you, but can I ask you a question? `	귀찮게 해 드리고 싶진 않지만 뭐 하나나 물어봐도 될까요? 
`Sorry to bother you, but can I sit here? `	귀찮게 해서 죄송하지만 여기 앉아도 될까요? 
Did you voluntarily give it to her? 	당신은 자의로 그걸 그녀에게 줬나요? 
Did you voluntarily join them? 	당신은 자의로 그들과 합세했나요? 
Did you voluntarily speak for them? 	당신은 자의로 그들 편에 서서 얘기했나요? 
I wouldn't hold my breath about that. 	저라면 그것에 관해서 큰 희망은 갖지 않겠습니다. 
I wouldn't hold my breath about his future. 	저라면 그의 미래에 관해서 큰 희망은 갖지 않겠습니다. 
I wouldn't hold my breath about the contract. 	저라면 그 계약 건에 관해 큰 희망은 갖지 않겠습니다. 
It's time to trade up. 	더 좋은 것으로 바꿔야 할 때입니다. 
It's time to go back. 	돌아가야 할 때입니다. 
It's finally time to finish it. 	이젠 그걸 끝내야 할 때입니다. 
I'll get the ball rolling. 	그 일을 시작하겠습니다. 
I'll start the ball rolling. 	그 일을 시작하겠습니다. 
Let's keep the ball rolling. 	계속 이야기 나누시죠. 
She used to live next door. 	그녀는 옆집에 살았는데요. 
She used to like him. 	그녀는 그를 좋아했었는데요.
She used to go window shopping there. 	그녀는 그곳에서 아이쇼핑을 하곤 했어요. 
I've never seen anyone so grief stricken. 	전 그렇게 상심하는 사람은 첨 봤어요. 
I've never seen anyone so bright. 	전 그렇게 영리한 사람은 첨 봤어요. 
I've never seen anyone so stubborn. 	전 그렇게 고집 센 사람은 첨 봤어요. 
I'd love to be able to help you but I'm busy. 	전 당신을 정말 도와드릴 수 있었으면 하지만 바빠서요. 
I'd love to see your recent works. 	전 당신의 최근 작품을 보고 싶어요. 
I'd love to go to his concert. 	전 그의 콘서트에 가보고 싶어요. 
I can handle matters. 	제가 문제를 해결할 수 있어요. 
How can you possibly handle that? 	당신이 어떻게 그 문제를 해결할 수 있어요? 
She handled the problem perfectly. 	그는 그 문제를 완벽하게 처리했습니다. 
I remember what happened the last time we were alone. 	전 지난 번 우리 둘만 있었을 때 일어났던 일을 기억합니다. 
I remember what happened the last time we had an argument. 	전 지난 번 우리가 논쟁했을 때 일어났던 일을 기억합니다. 
I remember what happened the last time we competed. 	전 지난 번 우리가 경쟁했을 때 일어났던 일을 기억합니다. 
I don't believe we've met. 	전에 뵌 적이 없는 것 같은데요. 
Do I know you? 	전에 뵌 적이 있나요? 
You look familiar to me. 	당신을 어디서 뵌 것 같아요. 
That's all I want. 	그게 제가 원하는 전부입니다. 
That's all I want to say. 	그게 제가 말하고 싶은 전부입니다. 
That's all I need to see. 	그게 제가 봐야할 전부입니다. 
Let me explain something to you. 	제가 당신에게 설명해 줘야 할 일이 있어요. 
Let me get this straight first.	우선 이것부터 똑바로 이해하고요. 
Let me go over the document. 	제가 그 서류를 검토하겠습니다. 
You are going to have to learn to relax. 	당신은 느긋해지는 법을 배워야겠어요. 
You are going to have to learn to control yourself. 	당신은 자신을 통제하는 법을 배워야겠어요. 
You are going to have to learn to stay away from it. 	당신은 그것을 멀리하는 법을 배워야겠어요. 
That doesn't make them a criminal. 	그렇다고 그들이 범죄자가 되는 건 아니죠. 
That doesn't make him a hero. 	그렇다고 그가 영웅이 되는 건 아닙니다. 
That doesn't make her a leader. 	그렇다고 그녀가 지도자가 되는 건 아니죠. 
Could I fax my resume? 	제가 이력서를 팩스로 보내도 될까요? 
Please fax it to me. 	그걸 제게 팩스로 보내주세요. 
Who are you faxing this to? 	이걸 누구에게 팩스로 보내는 거죠? 
I've covered your office for you. 	내가 당신 대신 사무실 일을 맡아봤어요. 
Can you cover me for a while? 	당분간 내 일을 맡아줄 수 있겠어요? 
Jenny's sick today so I'm covering for her. 	제니가 오늘 아파서 제가 그녀 일을 맡아보고 있습니다. 
This is really not a good time. 	지금은 정말 좋지 않은 때인데요. 
This is not an opportune time. 	지금은 좋은 때는 아니에요. 
This is not a good time to talk about a raise. 	지금은 임금인상에 대해서 얘기할 좋은 때가 아니에요. 
It won't take long. 	얼마 걸리지 않을 겁니다. 
Will it take long? 	오래 걸릴까요? 
I'll be right back. It won't take long. 	곧 돌아올게요. 오래 걸리지 않을 거예요. 
It occurred to me what a common name it is. 	그것이 얼마나 흔한 이름인가라는 생각이 문득 들었어요.
It occurred to me she might tell me a lie. 	그녀가 내게 거짓말을 했을지도 모른다는 생각이 문득 들었어요. 
It occurred to me that we could use a computer to do the job. 	우리가 컴퓨터를 사용해 그 일을 할 수 있겠다는 생각이 들었어요. 
You would have gone straight to the police. 	당신은 곧장 경찰에 가려고 했을 텐데요. 
Did you go straight to the school? 	당신은 곧장 학교로 갔나요? 
I went straight home. 	전 집으로 바로 갔습니다. 
She could still make a lot of trouble for us. 	그녀는 우리에게 큰 문제가 될 수 있습니다. 
Don't give him another drink or he'll start causing trouble. 	`그에게 술을 더 주지 말아요, 그러지 않으면 그가 문제를 일으킬 겁니다`
`If you do it, we'll both get into trouble. `	당신이 그 일을 하면 우리 둘에게 말썽이 생길 겁니다. 
`Let's just say, the problem has been buried. `	그냥 그 문제는 묻혀졌다고 해두죠. 
`Let's say my plan fails, then what? `	내 계획이 실패한다고 치면 그 다음에 어쩌죠? 
Just say you won the lottery-what would you do? 	당신이 복권에 당첨 됐다고 치면 무엇을 하시겠습니까? 
You're not very good at keeping promises. 	당신은 약속을 잘 지키지 않는군요. 
You're very good at languages. 	당신은 언어에 재주가 있습니다. 
She's not very good at handling matters. 	그녀는 문제를 처리하는데 그리 능숙하지 못합니다. 
What are you talking to me for? 	당신은 왜 내게 얘기하는 겁니까? 
What are you giving it to me for? 	당신은 왜 내게 그걸 주는 겁니까? 
What are you doing it for? 	당신은 왜 그 일을 하는 겁니까? 
I want you to suffer like I suffered. 	난 내가 겪은 것 같은 고통을 당신도 겪길 바라요. 
I want you to happy with it like I was. 	저처럼 당신도 그 일로 좋아하길 바랍니다. 
I want you to learn to ride like I learned. 	내가 승마를 배웠듯이 당신도 배우길 바랍니다.
You won't get away with it. 	당신은 그 일에서 빠져나가지 못할 겁니다. 
I don't know how he managed to get away with it. 	어떻게 그가 그 일에서 무사히 빠져나갔는지 모르겠어요. 
Is it true that he go away with it? 	그가 그 일에서 무사히 빠져나갔다는 것이 사실입니까? 
I don't know if I've ever been so scared in my whole life. 	이렇게 무서웠던 적이 또 있었나 모르겠어요. 
I don't know if I've ever been so happy in my whole life. 	이렇게 행복했던 적이 또 있었나 모르겠어요. 
I don't know if I've ever been so excited in my whole life. 	이렇게 흥분됐던 적이 또 있었나 모르겠어요. 
What if he doesn't recognize me? 	그가 날 못 알아보면 어쪄죠? 
What if he doesn't remember me? 	그가 날 기억 못하면 어쪄죠? 
What if he doesn't recognize my voice? 	그가 내 목소리를 알아보지 못하면 어쪄죠? 
Sometimes I just couldn't stand her. 	때때로 나는 그녀를 견디기 힘들었어요. 
They just couldn't tolerate foreigners. 	그들은 딱히 이유도 없이 외국인들을 참아줄 수가 없었어요. 
I couldn't stand the noise of the street. 	나는 거리의 소음을 참아낼 수가 없었어요. 
What kept me going was knowing one day I would leave her. 	언젠가는 그녀 곁을 떠나게 되리라는 믿음이 나를 견디게 했어요. 
What kept me continuing on in life was my family. 	내 삶을 지탱하는 것은 나의 가족입니다. 
What kept this company being successful was its technology. 	이 회사를 성공으로 끌어온 것은 기술이었어요. 
You had a number on him. 	전화번호를 가지고 있죠?
You had a number on him. 	전화번호를 가지고 있죠? 
You had a number on him. 	전화번호를 가지고 있죠? 
So what? None of your business. 	그게 어쨌단 말이에요? 당신이 상관할 일이 아니에요. 
Mind your own business. 	당신 일에나 신경 쓰세요. 
I'm here on business. 	나는 일 때문에 여기 와 있어요. 
We can't afford this car. 	이 차는 우리 분수에 넘쳐요. 
I cannot afford to be lazy. 	나는 결코 게을러서는 안돼요. 
We can't afford to let this chance go by. 	우린 이 기회를 놓칠 수 없어요. 
This car does not belong in Bay City and neither do we. 	`이 차는 Bay City 같은 시골에 있을 물건이 아니에요, 우리도 그렇고요. `
This book doesn't belong to me. 	이 책은 내 것이 아니에요. 
The dishes belong on the shelf. 	접시는 찬장에 있어야 해요. 
I don't know that it's large enough. 	크기가 충분할지 모르겠어요. 
You're old enough to solve your problems for yourself. 	당신은 문제들을 스스로 해결할 충분한 나이가 되었어요. 
The room is big enough for us all. 	그 방은 우리 모두가 쓰기에 넉넉해요. 
There are none available right now. 	지금은 비어 있는 게 없군요. 
When are you available? 	언제 시간이 나세요? 
He is not available right now because he's tied up. 	그는 할 일이 많아서 시간이 나질 않아요. 
It's in the bag. 	그건 내가 마음먹기에 달렸어요. 
The deal is in the bag. 	거래가 성사됐어요. 
The cooperation with the University Research Center is in the bag. 	대학 연구소와의 협력이 성사됐어요. 
Over my dead body.	내 눈에 흙이 들어가기 전에는 안돼요. 
You can marry him only over my dead body. 	내 눈에 흙이 들어가기 전에는 그 남자와 결혼 못해요. 
Leave me only over my dead body. 	절대 당신을 보낼 수 없어요. 
“Be appointment only”. 	“사전예약이 있어야 (방문가능)함” 
`Please, make an appointment before you visit us! `	방문하시기 전에 반드시 예약을 하시기 바랍니다. 
When do you have an appointment with Roger? 	로저와는 언제로 약속했나요? 
Do not disturb occupants. 	입주자를 방해하지 마세요. 
I am afraid of disturbing your sleep. 	주무시는 걸 깨운 건 아닌지요? 
Don‘t disturb yourself! 	그냥 계세요.(계속 하시죠.) 
That's only minutes from here. 	여기서는 몇 분 거리 밖에 안 되죠. 
It'll take only five minutes to get to City Hall. 	시청까지는 5분밖에 안 걸려요. 
The school is only ten minutes from home. 	학교는 집에서 10분밖에 안 걸려요. 
I'd be so grateful if you'd let us see the house. Do you mind? 	집을 구경시켜 주시면 고맙겠습니다만. 괜찮겠습니까? 
Would you mind if I smoke? 	담배 좀 피워도 괜찮겠습니까? 
`If you don't mind, I want to open the window. `	괜찮으시면 창문을 열었으면 하는데요. 
Let's get dressed up and go out to dinner. 	옷 입고 저녁 먹으러 나가요. 
Take a shower before getting dressed. 	옷을 입기 전에 샤워를 하세요. 
Comb your hair after getting dressed. 	옷 입고 난 뒤에 머리를 빗어요. 
That's just what we need. 	그게 바로 우리한테 필요한 거예요. 
I want you to brush up what you learned in this class. 	이 수업에서 배운 것을 복습하기 바라요. 
Think what you have to do. 	할 일이 무엇인지 생각해 봐요.
I want our first Christmas in Los Angeles to be perfect. 	LA에서 보내는 첫 성탄절을 빈틈없이 준비할 거예요. 
He wants this task to be carried out on this coming Thursday. 	그는 이 일이 오는 목요일에 실행되기를 원해요. 
Do you really want me to quit the job? 	내가 정말 직장을 그만두기를 원하나요? 
Why are you doing this to me? 	저더러 어쩌라고 이러시는 거예요? 
Why are you teasing your sister so badly? 	왜 당신 여동생을 그렇게 못살게 하나요? 
Why are you wasting your valuable time by playing computer games all day? 	소중한 시간을 종일 컴퓨터 게임으로 날리는 이유는 뭔가요? 
It'd cheer us up. 	그렇게 하면 기분이 좋아질 거예요. 
She tried to cheer her son up by reading a storybook. 	그녀는 책을 읽어주어서 아들의 기분을 풀어주려 했어요. 
Cheer up! 	기운 내요! 
They've got a new flavor. 	맛이 한 가지 더 생겼어요. 
The fashion is to look for a new flavor. 	패션은 늘 새로운 멋을 찾는 법이예요. 
This is a story with a romantic flavor. 	이것은 낭만적인 정취가 그윽한 이야기예요. 
I was just here to get her an ice cream. 	애한테 아이스크림을 사주려고 잠시 온 거예요. 
I came to pick up my daughter. 	나는 딸아이를 데리러 왔어요. 
Nobody came to relieve me. 	아무도 나와 교대하러 오지 않았어요. 
Don't blame it on me. 	제 탓으로 돌리지 마세요. 
You should bear the blame. 	책임은 당신이 져야 합니다. 
I am to blame for it. 	그건 내 탓이에요. 
You don't even understand. 	당신은 이해조차 못해요. 
I can't even guess what it is. 	나는 그게 뭔지 가늠조차 못 하겠어요.
Do you even suspect the danger? 	위험하다는 생각이라도 듭니까? 
You should leave when you're calm. 	떠나더라도 마음이 차분할 때 떠나야 해요. 
I'll be with you when you need a friend. 	친구가 필요할 때 제가 당신 곁에 있겠습니다. 
You might understand your parents when you are a grown-up. 	당신도 어른이 되면 부모님을 이해할 겁니다. 
We have got our eye on a cute little house not far from the water. 	해변에 예쁜 집 하나를 봐둔 게 있어요. 
My husband has an eye on a BMW. 	우리 남편은 BMW를 사려고 눈독을 들이고 있어요. 
She has her eye on a big diamond ring. 	그 여자는 커다란 다이아몬드 반지를 탐내고 있어요. 
You look real brown. 	정말 갈색으로 그을렸네요. 
You look blue today. 	오늘 우울해 보이네요. 
The bride looked very happy. 	신부는 아주 행복해 보였어요. 
I'm never going to leave you. 	당신을 절대로 떠나지 않을 거예요. 
Are you going to join us? 	우리와 합류할래요? 
He's going to make a trip to Japan. 	그는 일본으로 여행을 할 계획입니다. 
I'm not a doctor of psychology for nothing. 	내가 괜히 심리학 박사인 게 아니지요. 
This fits for nothing. 	이건 아무 짝에도 쓸모가 없어요. 
I'm ready to help you for nothing. 	아무런 대가 없이 당신을 돕겠습니다. 
I want to show you deed and the mortgage to the house that I've been paying on and I'm still paying on! 	이 집에 얹혀 있는 빚을 내가 아직도 다 못 갚았다는 걸 보여 주겠어요. 
The banks lend money on mortgage. 	은행은 담보가 있어야 돈을 빌려줍니다. 
`This house is worth enough to be a mortgage for 40,000 dollars. `	이 집을 담보로 충분히 4만 달러를 빌릴 수 있어요. 
Nobody helped me. 	아무도 나를 도와주지 않았어요.
Nobody wanted to work overtime. 	시간외 근무를 하려는 사람이 아무도 없었어요. 
Nobody knows! 	그건 아무도 모르지요! 
Get me the telephone. 	전화 좀 가져다주세요. 
Is there anybody who gets me a cup of water? 	누구 물 한 컵 갖다 주지 않을래요? 
Can you get a bottle of beer for me? 	맥주 한 병 갖다 주세요. 
Don't you get it? 	모르겠어요? 
I'd already got it before you told it to me. 	당신이 말하기도 전에 난 벌써 알아차렸어요. 
You got me wrong. 	당신은 내 말을 오해했어요. 
And you shouldn't have quit your job. 	당신은 직장을 그만두지 말았어야죠. 
You should have been more patient about your work. 	당신이 하는 일에 대해 좀 더 인내심을 가졌어야 했어요. 
He shouldn't have lied to me. 	그는 내게 거짓말을 하지 말았어야 했어요. 
I guess so. 	나도 그렇게 생각해요. 
I guess that just a few people agree to this idea. 	`추측하건대, 소수의 사람들만이 이 생각에 동의할 것입니다. `
Guess how much I won in Las Vegas! 	내가 라스베이거스에서 얼마나 땄는지 맞춰 봐요! 
I bet he's really nice. 	`그가 좋은 사람이라는 거, 내가 장담해요. `
I bet you are wrong. 	당신이 틀렸다는 걸 내가 장담해요. 
You bet! 	정말이랍니다! 
Just get it over with. 	그냥 해치우고 말아요. 
Sometimes you just have to get over with. 	때로는 귀찮아도 해치워야 할 때가 있어요. 
There are things you just get over with. 	귀찮아도 해야 할 일이 있는 법이예요. 
Do you ever think about me?	제 생각이 나는 적이 있기는 하나요? 
Do you ever try to understand me? 	한 번이라도 날 이해하려고 노력해 본 적이 있으세요? 
Do you bus ever run on time? 	당신네들 버스가 한 번이라도 제 시간에 운행되는 적이 있나요? 
Do you need me to help out in some way? 	내가 어떻게든 당신을 도와주기를 원하는 겁니까? 
Would someone help me out? 	누구든 저 좀 도와주세요! 
Could you help me out with my homework? 	내 숙제 좀 도와서 끝내줄래요? 
You're better off without him. 	그 사람이 없는 편이 당신에게 낫습니다. 
You'd be better off in your home town. 	고향에 가면 지내기가 더 좋을 것입니다. 
`After selling his house, he is better off. `	집을 팔고 나서 그는 형편이 더 나아졌어요. 
Sue the bastard for child support. 	양육비를 안 준 걸로 그 나쁜 사람을 고소해버려요. 
She sued for a divorce. 	그 여자는 이혼소송을 제기했어요. 
He sued his company for damages. 	그는 자기 회사를 상대로 손해배상청구소송을 냈습니다. 
Not for anything. 	절대로 아니에요. 
It's not good anything. 	그건 아무 짝에도 쓸모가 없어요. 
I wouldn't sell my car for anything. 	무얼 준대도 내 차는 팔지 않겠어요. 
It was a dead end. 	그곳은 막다른 골목이었어요. 
There'll be some dead ends in your life. 	살다 보면 헤어날 길 없는 좌절을 몇 번은 만날 것입니다. 
`After successful 25 years, he finally reached a dead end. `	25년 동안 성공가도를 달려 온 그가 드디어 막다른 골목에 이르렀습니다
And end up back in Bay City? 	그래서 결국에는 Bay City로 돌아가겠다고요? 
`After playing in the rain, we all ended up with colds. `	빗속에서 경기를 한 뒤에 우리는 모두 감기에 걸리고 말았어요. 
The little man from Michigan ended up as president of a firm.	미시건 출신인 그 조그마한 남자가 결국에는 한 회사의 사장이 되었어요
`After all this time, after all that I've sacrificed? `	`그렇게 오랜 세월, 온갖 희생을 다 치렀는데 겨우 이건가요? `
`After all the witnesses, the juries convicted him guilty. `	`증언을 다 듣고 난 뒤, 배심원들은 그에게 유죄 평결을 내렸어요. `
`After all the hardships, he became rich. `	`온갖 고난을 겪고 난 뒤, 그는 부자가 되었어요. `
He gets on my nerves. 	그 사람은 날 짜증나게 만들어요. 
`I can't stand my boss, because he gets on my nerves everyday. `	날마다 나를 짜증나게 만드는 사장을 참아줄 수가 없어요. 
Don't get on my nerves. 	날 짜증나게 하지 마세요. 
He's not my idea of fun. 	그는 함께 있어도 날 즐겁게 해주질 못해요. 
That's not my idea of sacrifice. 	그건 희생이 아니라고 생각해요(내가 생각하는 희생이 아니에요)
So good of you to come see me. 	와 주셔서 정말 고맙소. 
So nice of you to drop in. 	들러주셔서 고마워요. 
So good of you to help out. 	도와주셔서 고마워요. 
No doubt Sir Robert will be pleased to see it again. 	틀림없이 Robert 경이 이걸 다시 보면 기뻐하실 겁니다. 
No doubt your father will be angry to hear about your arrest. 	틀림없이 당신 아버지는 당신이 체포된 소식을 들으시면 노하실 거예요. 
No doubt your boss will be happy to see the report. 	틀림없이 당신의 상사는 그 보고서를 보면 기뻐할 거예요. 
I didn't come for the money. 	난 돈 때문에 온 게 아니오. 
I didn't come for the food. 	난 음식 때문에 온 게 아니에요. 
I didn't come to fight.	난 싸우러 온 게 아니에요. 
I'm merely a middle-man. 	난 그저 중개인일 뿐입니다. 
I'm merely a messenger. 	난 그저 심부름꾼일 뿐이에요. 
I'm merely a boy. 	난 그저 어린아이일 뿐이에요. 
Have you brought me a souvenir from your trip? 	제게 줄 여행 기념품을 가져 오셨나요? 
Have you brought me a present for my birthday? 	제게 줄 생일 선물을 가져 오셨나요? 
Have you taken out the garbage? 	쓰레기는 내 갔어요? 
I know exactly where to put that. 	난 그걸 어디에 두어야 할지 정확히 알고 있죠. 
I know exactly what to say. 	난 무슨 말을 해야 할지 정확히 알고 있어요. 
I know exactly where to go. 	난 어디로 가야 할지 정확히 알고 있어요. 
We can make a deal. 	우리 이렇게 하기로 약속합시다. 
Let's make a deal. 	우리 이렇게 하기로 약속합시다. 
